species,authority,url
Amblyodipsas concolor,"(SMITH, 1849)",https://reptile-database.reptarium.cz/Amblyodipsas/concolor?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas dimidiata,"(GÜNTHER, 1888)",https://reptile-database.reptarium.cz/Amblyodipsas/dimidiata?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas katangensis,"DE WITTE & LAURENT, 1942",https://reptile-database.reptarium.cz/Amblyodipsas/katangensis?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas microphthalma,"(BIANCONI, 1852)",https://reptile-database.reptarium.cz/Amblyodipsas/microphthalma?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas polylepis,"(BOCAGE, 1873)",https://reptile-database.reptarium.cz/Amblyodipsas/polylepis?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas rodhaini,"(DE WITTE, 1930)",https://reptile-database.reptarium.cz/Amblyodipsas/rodhaini?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas teitana,"BROADLEY, 1971",https://reptile-database.reptarium.cz/Amblyodipsas/teitana?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas unicolor,"(REINHARDT, 1843)",https://reptile-database.reptarium.cz/Amblyodipsas/unicolor?search_param=%28%28taxon%3D%27snake%27%29%29
Amblyodipsas ventrimaculata,"(ROUX, 1907)",https://reptile-database.reptarium.cz/Amblyodipsas/ventrimaculata?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops amoipira,"(RODRIGUES & JUNCÁ, 2002)",https://reptile-database.reptarium.cz/Amerotyphlops/amoipira?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops arenensis,"GRABOSKI, PEREIRA-FILHO,  SILVA, COSTA PRUDENTE & ZAHER, 2015",https://reptile-database.reptarium.cz/Amerotyphlops/arenensis?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops brongersmianus,"(VANZOLINI, 1976)",https://reptile-database.reptarium.cz/Amerotyphlops/brongersmianus?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops caetanoi,"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022",https://reptile-database.reptarium.cz/Amerotyphlops/caetanoi?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops costaricensis,"(JIMÉNEZ & SAVAGE, 1963)",https://reptile-database.reptarium.cz/Amerotyphlops/costaricensis?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops illusorium,"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022",https://reptile-database.reptarium.cz/Amerotyphlops/illusorium?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops lehneri,"(ROUX, 1926)",https://reptile-database.reptarium.cz/Amerotyphlops/lehneri?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops martis,"GRABOSKI, ARREDONDO, GRAZZIOTIN, GUERRA-FUENTES, SILVA, PRUDENTE, PINTO, RODRIGUES, BONATTO & ZAHER, 2022",https://reptile-database.reptarium.cz/Amerotyphlops/martis?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops microstomus,"(COPE, 1866)",https://reptile-database.reptarium.cz/Amerotyphlops/microstomus?search_param=%28%28taxon%3D%27snake%27%29%29
Amerotyphlops minuisquamus,"(DIXON & HENDRICKS, 1979)",https://reptile-database.reptarium.cz/Amerotyphlops/minuisquamus?search_param=%28%28taxon%3D%27snake%27%29%29
